CIC_OEM_VERS 	= 2.0
CREATION_DATE  	= 2023-06-06T17:32:35Z
ORIGINATOR     	= e.NOVA

META_START

OBJECT_NAME 	= ['OPS', '3367', 'A']
OBJECT_ID 	= ['OPS', '3367', 'A']

CENTER_NAME 	= EARTH
REF_FRAME   	= EME2000
TIME_SYSTEM 	= UTC

META_STOP

59945 37960.0	3109.748834989951 5305.2113480390735 3697.768754296825 3.084464715608658 2.556268804760317 -6.283458100182744
59945 37970.0	3140.3991938681525 5330.481849945258 3634.766402454673 3.050759685805776 2.4989293955707357 -6.32299395181518
59945 37980.0	3170.710004933304 5355.177160790501 3571.374290284746 3.0167255456639244 2.4413195959644125 -6.361848920928214
59945 37990.0	3200.67801778664 5379.294643159618 3507.5992730458374 2.9823659633617936 2.383445611808362 -6.400018821050367
59945 38000.0	3230.3000193696716 5402.8317222620535 3443.4482466436693 2.9476846420990843 2.3253136774195644 -6.437499539543848
59945 38010.0	3259.572834280424 5425.785886179175 3378.9281469273938 2.912685319724238 2.266930054938826 -6.4742870380171516
59945 38020.0	3288.4933251122898 5448.154686126703 3314.0459489268806 2.877371768328925 2.2083010336514293 -6.510377352764192
59945 38030.0	3317.058392798418 5469.93573671745 3248.8086660628205 2.841747793826083 2.1494329292839582 -6.545766595207366
59945 38040.0	3345.2649769287596 5491.126716199044 3183.2233494039374 2.805817235551972 2.090332083344403 -6.580450952303561
59945 38050.0	3373.110056078092 5511.725366696569 3117.297086886403 2.7695839658461785 2.0310048624287296 -6.6144266869611945
59945 38060.0	3400.5906481125826 5531.72949443552 3051.037002569886 2.733051889650184 1.9714576575610474 -6.647690138428159
59945 38070.0	3427.703810530682 5551.13696998602 2984.4502557973333 2.6962249440514388 1.911696883447846 -6.680237722718506
59945 38080.0	3454.446640739276 5569.945728456024 2917.5440404962264 2.6591070979038567 1.8517289778600041 -6.712065932957823
59945 38090.0	3480.816276387811 5588.15376972268 2850.32558432522 2.621702351361476 1.7915604008765107 -6.743171339795624
59945 38100.0	3506.8098956458284 5605.7591586193685 2782.8021479460176 2.5840147354799377 1.7311976342411306 -6.773550591746939
59945 38110.0	3532.424717526967 5622.7600251510885 2714.981024162461 2.546048311742575 1.6706471806007843 -6.803200415585826
59945 38120.0	3557.6580021490286 5639.154564662208 2646.8695372100933 2.507807171668953 1.6099155628790696 -6.83211761666079
59945 38130.0	3582.507051046279 5654.941038035442 2578.475041894707 2.469295436337548 1.5490093235153637 -6.86029907926803
59945 38140.0	3606.969207440912 5670.117771859352 2509.8049228226173 2.430517255958186 1.487935023786487 -6.887741766974013
59945 38150.0	3631.0418565256246 5684.68315859898 2440.8665935864656 2.3914768094180685 1.426699243089196 -6.91444272294757
59945 38160.0	3654.722425726619 5698.635656750347 2371.6674959904394 2.352178303848596 1.3653085782583025 -6.940399070266932
59945 38170.0	3678.0083849954735 5711.9737910076055 2302.2150991758367 2.312625974134188 1.303769642796831 -6.965608012254981
59945 38180.0	3700.8972470442077 5724.6961523922655 2232.516898895566 2.2728240825041413 1.2420890662389166 -6.990066832748709
59945 38190.0	3723.386567629451 5736.80139840659 2162.580416628223 2.2327769180318393 1.180273493370926 -7.013772896418738
