CIC_OEM_VERS 	= 2.0
CREATION_DATE  	= 2023-06-06T17:32:35Z
ORIGINATOR     	= e.NOVA

META_START

OBJECT_NAME 	= ['THOR', 'AGENA', 'D', 'RB']
OBJECT_ID 	= ['THOR', 'AGENA', 'D', 'RB']

CENTER_NAME 	= EARTH
REF_FRAME   	= EME2000
TIME_SYSTEM 	= UTC

META_STOP

59945 37430.0	-3890.545488171263 5553.988213303464 2327.9073846142487 -0.37041187624694727 2.679881116119412 -6.943352544069378
59945 37440.0	-3894.0551993874033 5580.511996486973 2258.259116907771 -0.3282656797120638 2.6195896646979873 -6.968185427821474
59945 37450.0	-3897.142974619977 5606.432287880935 2188.361596662248 -0.2860849557509859 2.5590162301865194 -6.992261949479261
59945 37460.0	-3899.8084359864447 5631.746214583041 2118.2223995136296 -0.24387427134566586 2.4981673727856903 -7.015579501553968
59945 37470.0	-3902.051251618864 5656.450969347956 2047.8491288716546 -0.20163819673565997 2.437049682483879 -7.038135558761068
59945 37480.0	-3903.8711357159527 5680.543810902833 1977.2494151425003 -0.15938130495280278 2.3756697783860057 -7.0599276782774485
59945 37490.0	-3905.26784859347 5704.022064290654 1906.4309148495245 -0.11710817129653228 2.314034307953932 -7.080953500021758
59945 37500.0	-3906.241196726671 5726.883121172225 1835.4013098490727 -0.07482337286806806 2.2521499463294585 -7.101210746894754
59945 37510.0	-3906.7910327898053 5749.124440154241 1764.168306443963 -0.032531488045264734 2.1900233955683195 -7.1206972250406135
59945 37520.0	-3906.9172556888566 5770.743547077627 1692.7396345927555 0.009762903983542515 2.127661383957606 -7.139410824070357
59945 37530.0	-3906.619810590126 5791.738035330127 1621.1230470163418 0.0520552237449301 2.065070665243668 -7.15734951730404
59945 37540.0	-3905.8986889431394 5812.105566122574 1549.3263183947952 0.09434089195036077 2.0022580179387663 -7.174511361978611
59945 37550.0	-3904.753928498607 5831.843868778709 1477.3572444925617 0.13661533000679205 1.939230244565202 -7.190894499464933
59945 37560.0	-3903.1856133211795 5850.950741006406 1405.2236413181777 0.1788739605050531 1.8759941709295949 -7.206497155466061
59945 37570.0	-3901.193873796373 5869.4240491715245 1332.9333442433203 0.22111220773024365 1.8125566453615218 -7.221317640214792
59945 37580.0	-3898.7788866336355 5887.261728547623 1260.4942071821079 0.26332549813504325 1.7489245380050047 -7.235354348648483
59945 37590.0	-3895.9408748631286 5904.461783573314 1187.9141017110987 0.3055092608460066 1.6851047400580081 -7.248605760587269
59945 37600.0	-3892.6801078266462 5921.022288101027 1115.200916186417 0.34765892816954946 1.621104163009325 -7.2610704409018805
59945 37610.0	-3888.9969011660023 5936.941385623462 1042.3625549218978 0.38976993606076493 1.5569297379291371 -7.272747039661111
59945 37620.0	-3884.891616802104 5952.217289514279 969.4069372696204 0.4318377246470757 1.492588414673687 -7.283634292286753
59945 37630.0	-3880.3646629136033 5966.848283238363 896.3419967998852 0.47385773869255243 1.428087161177484 -7.293731019682361
59945 37640.0	-3875.4164939049288 5980.832720576076 823.1756803770863 0.5158254281205608 1.3634329626537394 -7.303036128368577
59945 37650.0	-3870.04761037499 5994.169025818858 749.9159473355103 0.5577362484771238 1.2986328208829487 -7.311548610594487
59945 37660.0	-3864.2585590741087 6006.85569397693 676.5707685510101 0.5995856614523267 1.2336937534094532 -7.3192675444532735
59945 37670.0	-3858.049932862843 6018.891290960031 603.1481256130974 0.6413691353424564 1.1686227928267678 -7.326192093976095
59945 37680.0	-3851.4223706578023 6030.274453768427 529.6560098927866 0.683082145569968 1.1034269859705983 -7.33232150922802
59945 37690.0	-3844.3765573805445 6041.003890658714 456.10242171132586 0.724720175144238 1.0381133932011757 -7.337655126384417
59945 37700.0	-3836.913223892263 6051.078381318017 382.4953694046658 0.7662787151798542 0.9726890875930878 -7.342192367807106
59945 37710.0	-3829.033146932812 6060.496777014674 308.84286848924285 0.8077532653557558 0.9071611542149687 -7.345932742103212
